date,demand,sku,supermarket
2019-04-12,94.0,desperados,albert-heijn
2019-04-13,92.0,desperados,albert-heijn
2019-04-14,94.0,desperados,albert-heijn
2019-04-15,92.0,desperados,albert-heijn
2019-04-16,,desperados,albert-heijn
2019-04-17,96.0,desperados,albert-heijn
2019-04-18,96.0,desperados,albert-heijn
2019-04-19,99.0,desperados,albert-heijn
2019-04-20,96.0,desperados,albert-heijn
2019-04-21,96.0,desperados,albert-heijn
2019-04-22,,desperados,albert-heijn
2019-04-23,94.0,desperados,albert-heijn
2019-04-24,,desperados,albert-heijn
2019-04-25,97.0,desperados,albert-heijn
2019-04-26,97.0,desperados,albert-heijn
2019-04-27,96.0,desperados,albert-heijn
2019-04-28,93.0,desperados,albert-heijn
2019-04-29,95.0,desperados,albert-heijn
2019-04-30,97.0,desperados,albert-heijn
2019-05-01,98.0,desperados,albert-heijn
2019-05-02,96.0,desperados,albert-heijn
2019-05-03,97.0,desperados,albert-heijn
2019-05-04,97.0,desperados,albert-heijn
2019-05-05,93.0,desperados,albert-heijn
2019-05-06,,desperados,albert-heijn
2019-05-07,95.0,desperados,albert-heijn
2019-05-08,100.0,desperados,albert-heijn
2019-05-09,99.0,desperados,albert-heijn
2019-05-10,,desperados,albert-heijn
2019-05-11,18.8,desperados,albert-heijn
2019-05-12,95.0,desperados,albert-heijn
2019-05-13,94.0,desperados,albert-heijn
2019-05-14,96.0,desperados,albert-heijn
2019-05-15,97.0,desperados,albert-heijn
2019-05-16,,desperados,albert-heijn
2019-05-17,98.0,desperados,albert-heijn
2019-05-18,95.0,desperados,albert-heijn
2019-05-19,95.0,desperados,albert-heijn
2019-05-20,93.0,desperados,albert-heijn
2019-05-21,95.0,desperados,albert-heijn
2019-05-22,99.0,desperados,albert-heijn
2019-05-23,99.0,desperados,albert-heijn
2019-05-24,99.0,desperados,albert-heijn
2019-05-25,99.0,desperados,albert-heijn
2019-05-26,96.0,desperados,albert-heijn
2019-05-27,94.0,desperados,albert-heijn
2019-05-28,98.0,desperados,albert-heijn
2019-05-29,97.0,desperados,albert-heijn
2019-05-30,,desperados,albert-heijn
2019-05-31,98.0,desperados,albert-heijn
2019-06-01,99.0,desperados,albert-heijn
2019-06-02,94.0,desperados,albert-heijn
2019-06-03,94.0,desperados,albert-heijn
2019-06-04,,desperados,albert-heijn
2019-06-05,98.0,desperados,albert-heijn
2019-06-06,,desperados,albert-heijn
2019-06-07,97.0,desperados,albert-heijn
2019-06-08,95.0,desperados,albert-heijn
2019-06-09,95.0,desperados,albert-heijn
2019-06-10,95.0,desperados,albert-heijn
2019-06-11,100.0,desperados,albert-heijn
2019-06-12,100.0,desperados,albert-heijn
2019-06-13,99.0,desperados,albert-heijn
2019-06-14,97.0,desperados,albert-heijn
2019-06-15,98.0,desperados,albert-heijn
2019-06-16,94.0,desperados,albert-heijn
2019-06-17,94.0,desperados,albert-heijn
2019-06-18,99.0,desperados,albert-heijn
2019-06-19,,desperados,albert-heijn
2019-06-20,101.0,desperados,albert-heijn
2019-06-21,99.0,desperados,albert-heijn
2019-06-22,98.0,desperados,albert-heijn
2019-06-23,95.0,desperados,albert-heijn
2019-06-24,95.0,desperados,albert-heijn
2019-06-25,99.0,desperados,albert-heijn
2019-06-26,98.0,desperados,albert-heijn
2019-06-27,99.0,desperados,albert-heijn
2019-06-28,98.0,desperados,albert-heijn
2019-06-29,97.0,desperados,albert-heijn
2019-06-30,,desperados,albert-heijn
2019-07-01,94.0,desperados,albert-heijn
2019-07-02,97.0,desperados,albert-heijn
2019-07-03,96.0,desperados,albert-heijn
2019-07-04,101.0,desperados,albert-heijn
2019-07-05,96.0,desperados,albert-heijn
2019-07-06,95.0,desperados,albert-heijn
2019-07-07,,desperados,albert-heijn
2019-07-08,95.0,desperados,albert-heijn
2019-07-09,,desperados,albert-heijn
2019-07-10,97.0,desperados,albert-heijn
2019-07-11,,desperados,albert-heijn
2019-07-12,98.0,desperados,albert-heijn
2019-07-13,95.0,desperados,albert-heijn
2019-07-14,,desperados,albert-heijn
2019-07-15,,desperados,albert-heijn
2019-07-16,99.0,desperados,albert-heijn
2019-07-17,100.0,desperados,albert-heijn
2019-07-18,,desperados,albert-heijn
2019-07-19,100.0,desperados,albert-heijn
2019-07-20,96.0,desperados,albert-heijn
2019-07-21,95.0,desperados,albert-heijn
2019-07-22,98.0,desperados,albert-heijn
2019-07-23,99.0,desperados,albert-heijn
2019-07-24,100.0,desperados,albert-heijn
2019-07-25,97.0,desperados,albert-heijn
2019-07-26,98.0,desperados,albert-heijn
2019-07-27,96.0,desperados,albert-heijn
2019-07-28,96.0,desperados,albert-heijn
2019-07-29,96.0,desperados,albert-heijn
2019-07-30,99.0,desperados,albert-heijn
2019-07-31,100.0,desperados,albert-heijn
2019-08-01,,desperados,albert-heijn
2019-08-02,98.0,desperados,albert-heijn
2019-08-03,95.0,desperados,albert-heijn
2019-08-04,95.0,desperados,albert-heijn
2019-08-05,96.0,desperados,albert-heijn
2019-08-06,98.0,desperados,albert-heijn
2019-08-07,102.0,desperados,albert-heijn
2019-08-08,99.0,desperados,albert-heijn
2019-08-09,97.0,desperados,albert-heijn
2019-08-10,96.0,desperados,albert-heijn
2019-08-11,95.0,desperados,albert-heijn
2019-08-12,96.0,desperados,albert-heijn
2019-08-13,95.0,desperados,albert-heijn
2019-08-14,99.0,desperados,albert-heijn
2019-08-15,99.0,desperados,albert-heijn
2019-08-16,98.0,desperados,albert-heijn
2019-08-17,95.0,desperados,albert-heijn
2019-08-18,95.0,desperados,albert-heijn
2019-08-19,93.0,desperados,albert-heijn
2019-08-20,96.0,desperados,albert-heijn
2019-08-21,98.0,desperados,albert-heijn
2019-08-22,99.0,desperados,albert-heijn
2019-08-23,,desperados,albert-heijn
2019-08-24,97.0,desperados,albert-heijn
2019-08-25,,desperados,albert-heijn
2019-08-26,92.0,desperados,albert-heijn
2019-08-27,97.0,desperados,albert-heijn
2019-08-28,99.0,desperados,albert-heijn
2019-08-29,98.0,desperados,albert-heijn
2019-08-30,,desperados,albert-heijn
2019-08-31,,desperados,albert-heijn
2019-09-01,94.0,desperados,albert-heijn
2019-09-02,95.0,desperados,albert-heijn
2019-09-03,94.0,desperados,albert-heijn
2019-09-04,100.0,desperados,albert-heijn
2019-09-05,100.0,desperados,albert-heijn
2019-09-06,96.0,desperados,albert-heijn
2019-09-07,93.0,desperados,albert-heijn
2019-09-08,,desperados,albert-heijn
2019-09-09,94.0,desperados,albert-heijn
2019-09-10,96.0,desperados,albert-heijn
2019-09-11,,desperados,albert-heijn
2019-09-12,,desperados,albert-heijn
2019-09-13,98.0,desperados,albert-heijn
2019-09-14,,desperados,albert-heijn
2019-09-15,,desperados,albert-heijn
2019-09-16,92.0,desperados,albert-heijn
2019-09-17,97.0,desperados,albert-heijn
2019-09-18,96.0,desperados,albert-heijn
2019-09-19,97.0,desperados,albert-heijn
2019-09-20,96.0,desperados,albert-heijn
2019-09-21,,desperados,albert-heijn
2019-09-22,91.0,desperados,albert-heijn
2019-09-23,94.0,desperados,albert-heijn
2019-09-24,96.0,desperados,albert-heijn
2019-09-25,97.0,desperados,albert-heijn
2019-09-26,97.0,desperados,albert-heijn
2019-09-27,96.0,desperados,albert-heijn
2019-09-28,95.0,desperados,albert-heijn
2019-09-29,,desperados,albert-heijn
2019-09-30,97.0,desperados,albert-heijn
2019-10-01,96.0,desperados,albert-heijn
2019-10-02,96.0,desperados,albert-heijn
2019-10-03,,desperados,albert-heijn
2019-10-04,97.0,desperados,albert-heijn
2019-10-05,94.0,desperados,albert-heijn
2019-10-06,90.0,desperados,albert-heijn
2019-10-07,96.0,desperados,albert-heijn
2019-10-08,95.0,desperados,albert-heijn
2019-10-09,98.0,desperados,albert-heijn
2019-10-10,96.0,desperados,albert-heijn
2019-10-11,98.0,desperados,albert-heijn
2019-10-12,94.0,desperados,albert-heijn
2019-10-13,94.0,desperados,albert-heijn
2019-10-14,92.0,desperados,albert-heijn
2019-10-15,,desperados,albert-heijn
2019-10-16,97.0,desperados,albert-heijn
2019-10-17,,desperados,albert-heijn
2019-10-18,95.0,desperados,albert-heijn
2019-10-19,,desperados,albert-heijn
2019-10-20,96.0,desperados,albert-heijn
2019-10-21,91.0,desperados,albert-heijn
2019-10-22,,desperados,albert-heijn
2019-10-23,97.0,desperados,albert-heijn
2019-10-24,96.0,desperados,albert-heijn
2019-10-25,96.0,desperados,albert-heijn
2019-10-26,93.0,desperados,albert-heijn
2019-10-27,93.0,desperados,albert-heijn
2019-10-28,91.0,desperados,albert-heijn
2019-10-29,96.0,desperados,albert-heijn
2019-10-30,95.0,desperados,albert-heijn
2019-10-31,95.0,desperados,albert-heijn
2019-11-01,96.0,desperados,albert-heijn
2019-11-02,92.0,desperados,albert-heijn
2019-11-03,90.0,desperados,albert-heijn
2019-11-04,90.0,desperados,albert-heijn
2019-11-05,95.0,desperados,albert-heijn
2019-11-06,95.0,desperados,albert-heijn
2019-11-07,95.0,desperados,albert-heijn
2019-11-08,96.0,desperados,albert-heijn
2019-11-09,91.0,desperados,albert-heijn
2019-11-10,91.0,desperados,albert-heijn
2019-11-11,91.0,desperados,albert-heijn
2019-11-12,94.0,desperados,albert-heijn
2019-11-13,95.0,desperados,albert-heijn
2019-11-14,95.0,desperados,albert-heijn
2019-11-15,94.0,desperados,albert-heijn
2019-11-16,92.0,desperados,albert-heijn
2019-11-17,90.0,desperados,albert-heijn
2019-11-18,91.0,desperados,albert-heijn
2019-11-19,94.0,desperados,albert-heijn
2019-11-20,94.0,desperados,albert-heijn
2019-11-21,94.0,desperados,albert-heijn
2019-11-22,94.0,desperados,albert-heijn
2019-11-23,92.0,desperados,albert-heijn
2019-11-24,94.0,desperados,albert-heijn
2019-11-25,91.0,desperados,albert-heijn
2019-11-26,94.0,desperados,albert-heijn
2019-11-27,96.0,desperados,albert-heijn
2019-11-28,93.0,desperados,albert-heijn
2019-11-29,95.0,desperados,albert-heijn
2019-11-30,,desperados,albert-heijn
2019-12-01,87.0,desperados,albert-heijn
2019-12-02,92.0,desperados,albert-heijn
2019-12-03,91.0,desperados,albert-heijn
2019-12-04,95.0,desperados,albert-heijn
2019-12-05,94.0,desperados,albert-heijn
2019-12-06,96.0,desperados,albert-heijn
2019-12-07,94.0,desperados,albert-heijn
2019-12-08,90.0,desperados,albert-heijn
2019-12-09,,desperados,albert-heijn
2019-12-10,91.0,desperados,albert-heijn
2019-12-11,94.0,desperados,albert-heijn
2019-12-12,94.0,desperados,albert-heijn
2019-12-13,93.0,desperados,albert-heijn
2019-12-14,92.0,desperados,albert-heijn
2019-12-15,92.0,desperados,albert-heijn
2019-12-16,92.0,desperados,albert-heijn
2019-12-17,92.0,desperados,albert-heijn
2019-12-18,92.0,desperados,albert-heijn
2019-12-19,97.0,desperados,albert-heijn
2019-12-20,93.0,desperados,albert-heijn
2019-12-21,91.0,desperados,albert-heijn
2019-12-22,90.0,desperados,albert-heijn
2019-12-23,89.0,desperados,albert-heijn
2019-12-24,92.0,desperados,albert-heijn
2019-12-25,94.0,desperados,albert-heijn
2019-12-26,96.0,desperados,albert-heijn
2019-12-27,95.0,desperados,albert-heijn
2019-12-28,92.0,desperados,albert-heijn
2019-12-29,92.0,desperados,albert-heijn
2019-12-30,92.0,desperados,albert-heijn
2019-12-31,93.0,desperados,albert-heijn
2020-01-01,95.0,desperados,albert-heijn
2020-01-02,95.0,desperados,albert-heijn
2020-01-03,93.0,desperados,albert-heijn
2020-01-04,92.0,desperados,albert-heijn
2020-01-05,89.0,desperados,albert-heijn
2020-01-06,92.0,desperados,albert-heijn
2020-01-07,91.0,desperados,albert-heijn
2020-01-08,96.0,desperados,albert-heijn
2020-01-09,95.0,desperados,albert-heijn
2020-01-10,94.0,desperados,albert-heijn
2020-01-11,93.0,desperados,albert-heijn
2020-01-12,,desperados,albert-heijn
2020-01-13,89.0,desperados,albert-heijn
2020-01-14,93.0,desperados,albert-heijn
2020-01-15,96.0,desperados,albert-heijn
2020-01-16,93.0,desperados,albert-heijn
2020-01-17,94.0,desperados,albert-heijn
2020-01-18,89.0,desperados,albert-heijn
2020-01-19,90.0,desperados,albert-heijn
2020-01-20,92.0,desperados,albert-heijn
2020-01-21,91.0,desperados,albert-heijn
2020-01-22,93.0,desperados,albert-heijn
2020-01-23,93.0,desperados,albert-heijn
2020-01-24,,desperados,albert-heijn
2020-01-25,93.0,desperados,albert-heijn
2020-01-26,92.0,desperados,albert-heijn
2020-01-27,,desperados,albert-heijn
2020-01-28,,desperados,albert-heijn
2020-01-29,93.0,desperados,albert-heijn
2020-01-30,95.0,desperados,albert-heijn
2020-01-31,93.0,desperados,albert-heijn
2020-02-01,94.0,desperados,albert-heijn
2020-02-02,,desperados,albert-heijn
2020-02-03,94.0,desperados,albert-heijn
2020-02-04,,desperados,albert-heijn
2020-02-05,94.0,desperados,albert-heijn
2020-02-06,94.0,desperados,albert-heijn
2020-02-07,96.0,desperados,albert-heijn
2020-02-08,93.0,desperados,albert-heijn
2020-02-09,,desperados,albert-heijn
2020-02-10,93.0,desperados,albert-heijn
2020-02-11,,desperados,albert-heijn
2020-02-12,95.0,desperados,albert-heijn
2020-02-13,96.0,desperados,albert-heijn
2020-02-14,94.0,desperados,albert-heijn
2020-02-15,91.0,desperados,albert-heijn
2020-02-16,93.0,desperados,albert-heijn
2020-02-17,92.0,desperados,albert-heijn
2020-02-18,94.0,desperados,albert-heijn
2020-02-19,98.0,desperados,albert-heijn
2020-02-20,97.0,desperados,albert-heijn
2020-02-21,,desperados,albert-heijn
2020-02-22,94.0,desperados,albert-heijn
2020-02-23,95.0,desperados,albert-heijn
2020-02-24,95.0,desperados,albert-heijn
2020-02-25,96.0,desperados,albert-heijn
2020-02-26,97.0,desperados,albert-heijn
2020-02-27,,desperados,albert-heijn
2020-02-28,,desperados,albert-heijn
2020-02-29,94.0,desperados,albert-heijn
2020-03-01,,desperados,albert-heijn
2020-03-02,,desperados,albert-heijn
2020-03-03,91.0,desperados,albert-heijn
2020-03-04,96.0,desperados,albert-heijn
2020-03-05,97.0,desperados,albert-heijn
2020-03-06,95.0,desperados,albert-heijn
2020-03-07,92.0,desperados,albert-heijn
2020-03-08,94.0,desperados,albert-heijn
2020-03-09,,desperados,albert-heijn
2020-03-10,94.0,desperados,albert-heijn
2020-03-11,97.0,desperados,albert-heijn
2020-03-12,98.0,desperados,albert-heijn
2020-03-13,96.0,desperados,albert-heijn
2020-03-14,96.0,desperados,albert-heijn
2020-03-15,94.0,desperados,albert-heijn
2020-03-16,93.0,desperados,albert-heijn
2020-03-17,94.0,desperados,albert-heijn
2020-03-18,97.0,desperados,albert-heijn
2020-03-19,98.0,desperados,albert-heijn
2020-03-20,98.0,desperados,albert-heijn
2020-03-21,95.0,desperados,albert-heijn
2020-03-22,95.0,desperados,albert-heijn
2020-03-23,93.0,desperados,albert-heijn
2020-03-24,95.0,desperados,albert-heijn
2020-03-25,97.0,desperados,albert-heijn
2020-03-26,97.0,desperados,albert-heijn
2020-03-27,,desperados,albert-heijn
2020-03-28,96.0,desperados,albert-heijn
2020-03-29,95.0,desperados,albert-heijn
2020-03-30,95.0,desperados,albert-heijn
2020-03-31,99.0,desperados,albert-heijn
2020-04-01,97.0,desperados,albert-heijn
2020-04-02,,desperados,albert-heijn
2020-04-03,98.0,desperados,albert-heijn
2020-04-04,96.0,desperados,albert-heijn
2020-04-05,94.0,desperados,albert-heijn
2020-04-06,94.0,desperados,albert-heijn
2020-04-07,96.0,desperados,albert-heijn
2020-04-08,,desperados,albert-heijn
2020-04-09,98.0,desperados,albert-heijn
2020-04-10,,desperados,albert-heijn
2020-04-11,95.0,desperados,albert-heijn
2020-04-12,,desperados,albert-heijn
2020-04-13,92.0,desperados,albert-heijn
2020-04-14,98.0,desperados,albert-heijn
2020-04-15,96.0,desperados,albert-heijn
2020-04-16,98.0,desperados,albert-heijn
2020-04-17,98.0,desperados,albert-heijn
2020-04-18,,desperados,albert-heijn
2020-04-19,98.0,desperados,albert-heijn
2020-04-20,97.0,desperados,albert-heijn
2020-04-21,99.0,desperados,albert-heijn
2020-04-22,,desperados,albert-heijn
2020-04-23,101.0,desperados,albert-heijn
2020-04-24,99.0,desperados,albert-heijn
2020-04-25,98.0,desperados,albert-heijn
2020-04-26,97.0,desperados,albert-heijn
2020-04-27,,desperados,albert-heijn
2020-04-28,97.0,desperados,albert-heijn
2020-04-29,101.0,desperados,albert-heijn
2020-04-30,96.0,desperados,albert-heijn
2020-05-01,101.0,desperados,albert-heijn
2020-05-02,98.0,desperados,albert-heijn
2020-05-03,96.0,desperados,albert-heijn
2020-05-04,97.0,desperados,albert-heijn
2020-05-05,97.0,desperados,albert-heijn
2020-05-06,,desperados,albert-heijn
2020-05-07,,desperados,albert-heijn
2020-05-08,101.0,desperados,albert-heijn
2020-05-09,101.0,desperados,albert-heijn
2020-05-10,96.0,desperados,albert-heijn
2020-05-11,96.0,desperados,albert-heijn
2020-05-12,98.0,desperados,albert-heijn
2020-05-13,99.0,desperados,albert-heijn
2020-05-14,101.0,desperados,albert-heijn
2020-05-15,100.0,desperados,albert-heijn
2020-05-16,98.0,desperados,albert-heijn
2020-05-17,98.0,desperados,albert-heijn
2020-05-18,97.0,desperados,albert-heijn
2020-05-19,98.0,desperados,albert-heijn
2020-05-20,100.0,desperados,albert-heijn
2020-05-21,99.0,desperados,albert-heijn
2020-05-22,,desperados,albert-heijn
2020-05-23,97.0,desperados,albert-heijn
2020-05-24,99.0,desperados,albert-heijn
2020-05-25,99.0,desperados,albert-heijn
2020-05-26,101.0,desperados,albert-heijn
2020-05-27,99.0,desperados,albert-heijn
2020-05-28,98.0,desperados,albert-heijn
2020-05-29,99.0,desperados,albert-heijn
2020-05-30,99.0,desperados,albert-heijn
2020-05-31,,desperados,albert-heijn
2020-06-01,99.0,desperados,albert-heijn
2020-06-02,100.0,desperados,albert-heijn
2020-06-03,103.0,desperados,albert-heijn
2020-06-04,,desperados,albert-heijn
2020-06-05,99.0,desperados,albert-heijn
2020-06-06,,desperados,albert-heijn
2020-06-07,96.0,desperados,albert-heijn
2020-06-08,98.0,desperados,albert-heijn
2020-06-09,98.0,desperados,albert-heijn
2020-06-10,103.0,desperados,albert-heijn
2020-06-11,104.0,desperados,albert-heijn
2020-06-12,97.0,desperados,albert-heijn
2020-06-13,100.0,desperados,albert-heijn
2020-06-14,95.0,desperados,albert-heijn
2020-06-15,99.0,desperados,albert-heijn
2020-06-16,102.0,desperados,albert-heijn
2020-06-17,101.0,desperados,albert-heijn
2020-06-18,,desperados,albert-heijn
2020-06-19,100.0,desperados,albert-heijn
2020-06-20,18.8,desperados,albert-heijn
2020-06-21,,desperados,albert-heijn
2020-06-22,18.8,desperados,albert-heijn
2020-06-23,,desperados,albert-heijn
2020-06-24,102.0,desperados,albert-heijn
2020-06-25,100.0,desperados,albert-heijn
2020-06-26,100.0,desperados,albert-heijn
2020-06-27,101.0,desperados,albert-heijn
2020-06-28,97.0,desperados,albert-heijn
2020-06-29,98.0,desperados,albert-heijn
2020-06-30,102.0,desperados,albert-heijn
2020-07-01,98.0,desperados,albert-heijn
2020-07-02,104.0,desperados,albert-heijn
2020-07-03,100.0,desperados,albert-heijn
2020-07-04,,desperados,albert-heijn
2020-07-05,98.0,desperados,albert-heijn
2020-07-06,,desperados,albert-heijn
2020-07-07,100.0,desperados,albert-heijn
2020-07-08,101.0,desperados,albert-heijn
2020-07-09,,desperados,albert-heijn
2020-07-10,98.0,desperados,albert-heijn
2020-07-11,99.0,desperados,albert-heijn
2020-07-12,96.0,desperados,albert-heijn
2020-07-13,97.0,desperados,albert-heijn
2020-07-14,103.0,desperados,albert-heijn
2020-07-15,102.0,desperados,albert-heijn
2020-07-16,102.0,desperados,albert-heijn
2020-07-17,98.0,desperados,albert-heijn
2020-07-18,98.0,desperados,albert-heijn
2020-07-19,98.0,desperados,albert-heijn
2020-07-20,99.0,desperados,albert-heijn
2020-07-21,101.0,desperados,albert-heijn
2020-07-22,102.0,desperados,albert-heijn
2020-07-23,103.0,desperados,albert-heijn
2020-07-24,,desperados,albert-heijn
2020-07-25,96.0,desperados,albert-heijn
2020-07-26,98.0,desperados,albert-heijn
2020-07-27,99.0,desperados,albert-heijn
2020-07-28,101.0,desperados,albert-heijn
2020-07-29,,desperados,albert-heijn
2020-07-30,101.0,desperados,albert-heijn
2020-07-31,99.0,desperados,albert-heijn
2020-08-01,,desperados,albert-heijn
2020-08-02,99.0,desperados,albert-heijn
2020-08-03,95.0,desperados,albert-heijn
2020-08-04,99.0,desperados,albert-heijn
2020-08-05,100.0,desperados,albert-heijn
2020-08-06,103.0,desperados,albert-heijn
2020-08-07,100.0,desperados,albert-heijn
2020-08-08,,desperados,albert-heijn
2020-08-09,97.0,desperados,albert-heijn
2020-08-10,99.0,desperados,albert-heijn
2020-08-11,99.0,desperados,albert-heijn
2020-08-12,97.0,desperados,albert-heijn
2020-08-13,102.0,desperados,albert-heijn
2020-08-14,101.0,desperados,albert-heijn
2020-08-15,98.0,desperados,albert-heijn
2020-08-16,96.0,desperados,albert-heijn
2020-08-17,98.0,desperados,albert-heijn
2020-08-18,100.0,desperados,albert-heijn
2020-08-19,100.0,desperados,albert-heijn
2020-08-20,101.0,desperados,albert-heijn
2020-08-21,99.0,desperados,albert-heijn
2020-08-22,98.0,desperados,albert-heijn
2020-08-23,95.0,desperados,albert-heijn
2020-08-24,98.0,desperados,albert-heijn
2020-08-25,98.0,desperados,albert-heijn
2020-08-26,101.0,desperados,albert-heijn
2020-08-27,99.0,desperados,albert-heijn
2020-08-28,99.0,desperados,albert-heijn
2020-08-29,,desperados,albert-heijn
2020-08-30,95.0,desperados,albert-heijn
2020-08-31,98.0,desperados,albert-heijn
2020-09-01,98.0,desperados,albert-heijn
2020-09-02,98.0,desperados,albert-heijn
2020-09-03,99.0,desperados,albert-heijn
2020-09-04,100.0,desperados,albert-heijn
2020-09-05,,desperados,albert-heijn
2020-09-06,97.0,desperados,albert-heijn
2020-09-07,98.0,desperados,albert-heijn
2020-09-08,99.0,desperados,albert-heijn
2020-09-09,101.0,desperados,albert-heijn
2020-09-10,102.0,desperados,albert-heijn
2020-09-11,97.0,desperados,albert-heijn
2020-09-12,99.0,desperados,albert-heijn
2020-09-13,,desperados,albert-heijn
2020-09-14,96.0,desperados,albert-heijn
2020-09-15,98.0,desperados,albert-heijn
2020-09-16,99.0,desperados,albert-heijn
2020-09-17,98.0,desperados,albert-heijn
2020-09-18,99.0,desperados,albert-heijn
2020-09-19,100.0,desperados,albert-heijn
2020-09-20,96.0,desperados,albert-heijn
2020-09-21,96.0,desperados,albert-heijn
2020-09-22,97.0,desperados,albert-heijn
2020-09-23,,desperados,albert-heijn
2020-09-24,100.0,desperados,albert-heijn
2020-09-25,98.0,desperados,albert-heijn
2020-09-26,,desperados,albert-heijn
2020-09-27,96.0,desperados,albert-heijn
2020-09-28,95.0,desperados,albert-heijn
2020-09-29,,desperados,albert-heijn
2020-09-30,100.0,desperados,albert-heijn
2020-10-01,101.0,desperados,albert-heijn
2020-10-02,98.0,desperados,albert-heijn
2020-10-03,,desperados,albert-heijn
2020-10-04,97.0,desperados,albert-heijn
2020-10-05,94.0,desperados,albert-heijn
2020-10-06,96.0,desperados,albert-heijn
2020-10-07,98.0,desperados,albert-heijn
2020-10-08,101.0,desperados,albert-heijn
